Site,UTM N,UTM E,2015 Start Date,2015 End Date,Rabbits 2013/2014,,,,,,,,,,,,,,,,Rabbits 2015,,,,,,,,,,,,,,,,,Cats 2013/2014,,,,,,,,,,,,,,,,Cats 2015,,,,,,,,,,,,,,,,year_2013,dist_cam_z,Total CatCaps_2013_14,CatIndividuals_2013_14,Total CatCaps_2015,CatIndividuals_2015,RabbitPresence_2013_14,HumanTrail,Rabbitat,Rabbitat_buff,HumanTrail,dist_rd_z,dist_dev_z,dist_cat2014_z,dist_cat2015_z,bin_2014cat,bin_2015cat,bin_20142015,DESCRIPTION,freshwater,salt_button,upland,hectares_z,LiDar_z
Fs003,2735113.902,460522.3405,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.86,0,0,0,0,0,0,1,0,0,1.51,1.05,0.51,2.79,0,0,0,Buttonwood,0,1,0,-0.74,-0.35
Fs005,2733914.934,460235.5048,3/26/15,4/10/15,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,.,FS005,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,1,-1.49,1,1,1,1,1,0,1,0,0,-0.46,-0.83,-1.6,1.73,1,0,1,Freshwater Wetland,1,0,0,-0.78,-0.88
Fs006,2733787.336,460643.1883,4/30/15,5/15/15,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,.,FS006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,.,0,0,0,0,1,0,1,0,0,-0.08,0.12,-0.88,1.21,1,0,1,Freshwater Wetland,1,0,0,-0.78,-1.13
Fs007,2733455.534,460429.4714,3/27/15,4/11/15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,.,FS007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.,1,-0.8,1,1,1,1,1,0,1,0,0,0.71,0,-0.75,1.14,1,0,1,Freshwater Wetland,1,0,0,-0.78,-0.84
Fs008,2733476.267,461280.8397,4/30/15,5/15/15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,FS008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,.,0,0,0,0,1,1,1,1,0,0.78,2.2,0.34,0.32,0,0,0,Pineland,0,0,1,0.51,-0.32
Fs009,2733213.099,460392.63,3/27/15,4/11/15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,.,FS009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.32,1,1,1,1,1,1,0,0,0,1.45,1.02,-0.27,0.88,0,0,0,Pineland,0,0,1,1.84,-0.07
Fs010,2733437.271,461865.9409,3/27/15,4/11/15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.,1,0.79,1,1,1,1,0,0,1,1,0,-0.17,-0.35,1.31,-0.03,0,0,0,Pineland,0,0,1,0.51,-0.33
Fs011,2733205.632,461527.8833,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.,FS011,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1.2,0,0,0,0,1,0,0,0,0,1.22,1,0.92,-0.18,0,0,0,Pineland,0,0,1,0.51,0.43
Fs016,2732957.968,460920.7112,3/27/15,4/11/15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,FS016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1.2,0,0,0,0,1,0,1,1,1,0.96,0.98,0.41,0.21,0,0,0,Pineland,0,0,1,1.84,-0.35
Fs018,2732644.37,461258.7443,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,2.31,0,0,0,0,0,0,1,1,0,0.18,-0.24,1.2,-0.39,0,0,0,Pineland,0,0,1,1.84,0.09
