year_2013,North,dist_cam_z,Catsyear1,Capturesyear1,Individualsyear1,Capturesyear2,Individualsyear2,twoyear_indchange,twoyear_capschange,capchange_z,RabbitPresence,HumanTrail,Rabbitat,Rabbitat_buff,dist_rd_z,dist_dev_z,dist_cat2014_z,dist_cat2015_z,bin_2014cat,bin_2015cat,bin_20142015,DESCRIPTION,freshwater,salt_button,upland,hectares_z,LiDar_z,Sum_Cats,Min_Cats,Max_Cats,Sum_Captur,Min_Captur,Max_Captur,Sum_Indivi
1,1,0.856846473,0,0,0,0,0,0,0,0.302469136,0,0,1,0,1.508976912,1.046661022,0.514183921,2.787839696,0,0,0,Buttonwood,0,1,0,-0.74141348,-0.350229069,0,0,0,0,0,0,0
1,1,-1.494467497,1,2,2,1,1,-1,-1,-0.06063907,1,0,1,0,-0.461017371,-0.834653866,-1.595909428,1.733011257,1,0,1,Freshwater Wetland,1,0,0,-0.780826134,-0.88143611,2,1,1,6,2,4,4
1,1,0,0,0,0,0,0,0,0,0.302469136,1,0,1,0,-0.078826437,0.115757425,-0.877041458,1.208479995,1,0,1,Freshwater Wetland,1,0,0,-0.780826134,-1.128836393,2,0,1,8,0,4,5
1,1,-0.802904564,0,0,0,1,1,1,1,0.665577342,1,0,1,0,0.706171474,-0.000375798,-0.745718826,1.141217717,1,0,1,Freshwater Wetland,1,0,0,-0.780826134,-0.840227805,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0.302469136,1,1,1,1,0.783102825,2.200931956,0.337208031,0.317173824,0,0,0,Pineland,0,0,1,0.512178739,-0.319629444,0,0,0,0,0,0,0
1,1,-0.318810512,0,0,0,1,1,1,1,0.665577342,1,1,0,0,1.446284822,1.020459541,-0.272541412,0.88390055,0,0,0,Pineland,0,0,1,1.835221913,-0.068440918,0,0,0,0,0,0,0
1,1,0.78769018,0,0,0,1,1,1,1,0.665577342,0,0,1,1,-0.172204396,-0.350341292,1.306178766,-0.033457091,0,0,0,Pineland,0,0,1,0.512178739,-0.326825464,0,0,0,0,0,0,0
1,1,1.202627939,1,3,2,0,0,-2,-3,-0.786855483,1,0,0,0,1.215756313,1.003906445,0.919940237,-0.181181786,0,0,0,Pineland,0,0,1,0.512178739,0.428046787,2,0,1,5,0,3,4
1,1,1.202627939,0,0,0,0,0,0,0,0.302469136,1,0,1,1,0.955647144,0.978820179,0.412092781,0.20985449,0,0,0,Pineland,0,0,1,1.835221913,-0.348063321,1,0,1,1,0,1,1
1,1,2.309128631,0,0,0,0,0,0,0,0.302469136,0,0,1,1,0.179750928,-0.24479247,1.198516987,-0.394069544,0,0,0,Pineland,0,0,1,1.835221913,0.093182337,0,0,0,0,0,0,0
1,1,1.271784232,1,2,2,2,1,-1,0,0.302469136,0,0,0,0,2.397808635,2.179501024,0.674363978,0.332757614,0,0,0,Hammock,0,0,1,-0.706817918,-0.212743693,1,0,1,2,0,2,2
1,1,1.340940526,0,0,0,0,0,0,0,0.302469136,1,1,1,1,0.981644169,0.498183062,0.457507664,-0.441613771,0,0,0,Pineland,0,0,1,0.377301033,-0.502984436,0,0,0,0,0,0,0
1,1,1.271784232,1,2,1,0,0,-1,-2,-0.423747277,0,0,1,1,0.30760923,0.40161686,0.373943443,-0.766463091,0,0,0,Pineland,0,0,1,0.377301033,1.809081228,1,0,1,2,0,2,1
1,1,0.649377593,1,8,2,0,0,-2,-8,-2.602396514,0,0,0,0,0.029910747,-0.344046093,0.175907441,-0.457867133,0,0,0,Pineland,0,0,1,1.835221913,1.474575646,3,1,1,14,3,8,5
