Date,Time,Hour,Minute,time decimal,Location,Species
6/15/2014,3:46:00 PM,15,0.77,0.66,X13_Cam01_3,motorised
6/15/2014,7:45:00 PM,19,0.75,0.82,X13_Cam01_3,motorised
6/19/2014,8:43:00 PM,20,0.72,0.86,X13_Cam01_3,Grizzly Bear
6/27/2014,5:09:00 PM,17,0.15,0.71,X13_Cam01_3,motorised
7/1/2014,5:33:00 PM,17,0.55,0.73,X13_Cam01_3,motorised
7/1/2014,6:16:00 PM,18,0.27,0.76,X13_Cam01_3,motorised
7/5/2014,3:18:00 PM,15,0.3,0.64,X13_Cam01_3,non-motorised
7/5/2014,5:10:00 PM,17,0.17,0.72,X13_Cam01_3,non-motorised
7/12/2014,1:32:00 PM,13,0.53,0.56,X13_Cam01_3,motorised
7/12/2014,1:34:00 PM,13,0.57,0.57,X13_Cam01_3,motorised
7/12/2014,2:08:00 PM,14,0.13,0.59,X13_Cam01_3,motorised
7/12/2014,2:09:00 PM,14,0.15,0.59,X13_Cam01_3,motorised
7/12/2014,4:08:00 PM,16,0.13,0.67,X13_Cam01_3,motorised
7/20/2014,6:53:00 PM,18,0.88,0.79,X13_Cam01_3,motorised
7/20/2014,6:58:00 PM,18,0.97,0.79,X13_Cam01_3,motorised
7/25/2014,10:21:00 AM,10,0.35,0.43,X13_Cam01_3,motorised
7/25/2014,10:29:00 AM,10,0.48,0.44,X13_Cam01_3,motorised
7/25/2014,9:36:00 PM,21,0.6,0.9,X13_Cam01_3,motorised
7/25/2014,9:40:00 PM,21,0.67,0.9,X13_Cam01_3,motorised
7/26/2014,8:28:00 PM,20,0.47,0.85,X13_Cam01_3,motorised
7/26/2014,9:06:00 PM,21,0.1,0.88,X13_Cam01_3,motorised
8/1/2014,5:49:00 PM,17,0.82,0.74,X13_Cam01_3,motorised
8/1/2014,7:02:00 PM,19,0.03,0.79,X13_Cam01_3,motorised
8/2/2014,4:22:00 PM,16,0.37,0.68,X13_Cam01_3,motorised
8/2/2014,4:32:00 PM,16,0.53,0.69,X13_Cam01_3,motorised
8/2/2014,4:38:00 PM,16,0.63,0.69,X13_Cam01_3,motorised
8/2/2014,4:52:00 PM,16,0.87,0.7,X13_Cam01_3,motorised
8/3/2014,2:31:00 PM,14,0.52,0.6,X13_Cam01_3,motorised
8/3/2014,2:40:00 PM,14,0.67,0.61,X13_Cam01_3,motorised
8/3/2014,2:59:00 PM,14,0.98,0.62,X13_Cam01_3,motorised
8/3/2014,3:01:00 PM,15,0.02,0.63,X13_Cam01_3,motorised
8/3/2014,3:45:00 PM,15,0.75,0.66,X13_Cam01_3,motorised
8/3/2014,3:47:00 PM,15,0.78,0.66,X13_Cam01_3,motorised
8/7/2014,3:28:00 PM,15,0.47,0.64,X13_Cam01_3,motorised
8/7/2014,3:31:00 PM,15,0.52,0.65,X13_Cam01_3,motorised
8/7/2014,4:15:00 PM,16,0.25,0.68,X13_Cam01_3,motorised
8/7/2014,6:47:00 PM,18,0.78,0.78,X13_Cam01_3,motorised
8/9/2014,11:48:00 AM,11,0.8,0.49,X13_Cam01_3,motorised
8/9/2014,3:33:00 PM,15,0.55,0.65,X13_Cam01_3,motorised
8/9/2014,3:43:00 PM,15,0.72,0.65,X13_Cam01_3,motorised
8/10/2014,11:51:00 AM,11,0.85,0.49,X13_Cam01_3,motorised
8/10/2014,12:19:00 PM,12,0.32,0.51,X13_Cam01_3,motorised
8/10/2014,1:59:00 PM,13,0.98,0.58,X13_Cam01_3,motorised
8/14/2014,4:34:00 PM,16,0.57,0.69,X13_Cam01_3,motorised
