Plot,Survey.1,Survey.2,sagebrush,slope,DW,aspect
1,0,0,9,0,25,W
2,0,1,18,5,150,S
3,0,0,8.4,45,150,W
4,0,0,3.2,65,375,E
5,0,1,12,5,375,S
6,1,1,7.8,5,150,S
7,0,0,5.4,55,625,N
8,1,0,10,5,150,N
9,1,0,12,5,875,S
10,1,1,12,15,375,S
11,0,0,0.6,75,625,E
12,1,1,7.6,5,25,N
13,0,0,4.2,45,1250,S
14,1,1,12,5,375,S
15,0,0,8.2,25,1250,S
16,0,1,4,25,1250,E
17,0,0,10,35,1250,W
18,1,0,4,15,1750,W
19,0,0,3.4,75,1250,E
20,0,0,6.4,15,875,W
21,1,0,4,5,1250,W
22,0,1,7.8,45,875,W
23,0,0,10,5,875,W
24,0,0,10,15,1250,W
25,1,0,3.8,5,375,N
26,0,0,1.2,45,875,S
27,0,0,2,5,625,W
28,1,0,5.8,5,875,S
29,1,1,7.4,5,375,N
30,1,0,7.2,5,875,S
31,0,0,4,55,875,S
32,1,0,18,5,375,W
33,0,1,1.6,5,875,S
34,0,1,3.4,0,25,W
35,0,1,0.8,35,875,N
36,0,1,5.9,5,875,N
37,1,0,0.2,15,375,S
38,1,0,12,5,625,S
39,0,0,9,65,625,S
40,0,0,2,15,625,W
41,1,1,9.2,85,375,N
42,0,1,6.2,25,875,W
43,1,1,0.2,0,25,W
44,0,0,7.4,15,625,S
45,0,1,3.2,25,150,E
46,0,0,2.2,45,150,W
47,0,0,9.6,15,25,E
48,0,0,13,15,625,W
49,0,1,11,15,625,W
50,0,1,2.6,35,875,W
51,1,1,4.8,0,25,W
52,0,0,6.6,0,375,W
53,0,1,16,15,875,W
54,0,1,12,55,1750,W
55,0,0,3,15,1750,S
56,0,0,0.7,45,1250,W
57,0,0,3,75,875,W
58,0,0,2.6,0,1250,W
59,0,1,5.4,55,1250,E
60,1,0,5.6,5,875,S
61,1,0,3.8,0,150,W
62,1,1,0,25,1250,W
63,0,0,0.4,15,1250,E
64,0,1,1.4,15,1250,S
65,1,0,0.4,5,375,E
66,0,1,4.8,5,875,W
67,0,0,5.6,25,1250,S
68,0,0,0.2,5,625,S
69,0,1,3.9,0,25,W
70,0,1,10,25,875,W
71,0,0,4.2,25,875,W
72,1,0,0.2,5,875,S
73,0,1,0.2,0,150,W
74,1,0,5,15,625,S
75,0,0,5.4,55,1250,W
76,1,1,3.4,25,625,N
77,0,1,10,15,375,W
78,0,0,0.4,5,625,W
79,1,1,4.8,25,625,S
80,0,1,7.2,0,25,N
81,1,0,6.6,85,150,W
82,1,1,1.6,45,875,W
83,1,1,4.2,5,150,N
84,0,0,5,25,1750,S
85,1,1,3.4,15,875,S
86,0,0,0.8,85,1250,W
87,0,0,0.8,15,875,S
88,0,0,8,35,2250,N
89,0,0,0.2,5,1250,N
90,0,0,10,15,1250,W
91,0,0,0.2,15,375,W
92,0,0,4.2,15,1750,N
93,0,0,7,15,875,N
94,0,0,2.4,35,1250,N
95,0,0,10,55,875,W
96,0,0,7.8,15,2250,W
97,1,1,12,25,1250,N
98,0,0,3.2,25,1250,W
99,1,1,1,15,375,S
100,0,1,5.4,5,1750,W
101,0,1,11,0,1250,W
102,0,1,0.8,15,875,W
103,0,0,3.6,5,625,E
104,0,1,5.4,25,2250,S
105,1,1,9,5,1750,W
106,0,0,2,5,875,W
107,0,0,0.6,0,150,W
108,0,1,4.2,15,1750,W
109,0,1,1.8,5,1250,W
110,1,1,4.4,25,375,W
111,1,0,0.2,15,375,N
112,1,1,0.2,15,2250,S
113,1,0,3.8,15,1750,W
114,1,1,0.2,0,625,W
115,1,1,0.4,0,25,W
116,0,0,7.2,35,2750,W
117,1,1,9.4,15,1750,W
118,0,0,0.2,15,875,W
119,0,1,4,35,375,W
120,0,0,3.6,45,2750,E
121,0,0,2.4,15,2250,W
122,1,1,5,25,875,W
123,0,1,1.4,0,375,W
124,0,0,8.2,5,2250,W
125,0,0,7.4,15,1750,E
126,0,0,2,0,375,W
127,0,0,0.4,15,625,W
128,0,0,4.4,5,2750,W
129,1,1,0.2,25,2250,N
130,0,0,3.6,5,625,W
131,0,0,2.4,0,875,W
132,1,0,10,15,2250,W
133,0,0,8.4,25,1750,W
134,0,0,0,45,25,S
135,0,1,4,0,625,W
136,1,0,4.8,25,2750,S
137,0,0,1.4,15,2250,W
138,1,1,0,35,375,W
139,0,0,2.4,5,625,N
140,0,0,3.4,15,2750,W
141,0,0,3,15,1750,W
142,1,0,5,15,375,W
143,0,1,0,5,150,E
144,0,0,8.4,5,2750,W
145,1,0,7.6,25,2750,W
146,0,1,0.2,15,375,W
147,0,0,2.8,0,625,W
148,1,0,3.4,0,2750,W
149,0,1,2.4,35,2750,S
150,1,1,1,15,1750,E
151,1,1,2.2,0,625,W
152,1,1,0.4,0,375,W
153,0,0,1.6,45,2750,E
154,0,0,7.6,15,2750,W
155,0,1,0.4,15,875,W
156,0,0,0.6,5,625,W
157,0,0,5.6,0,25,W
158,0,0,14,15,2750,W
159,0,1,3.6,15,2750,W
160,1,1,2.2,0,625,W
161,0,0,6.6,45,2750,W
162,0,0,11,15,2750,S
163,1,1,3,15,875,E
164,0,0,3.4,35,375,W
165,0,1,12,0,25,W
166,0,0,10,25,2750,S
167,1,0,3.8,15,2750,N
168,0,0,0.4,0,150,W
169,1,1,12,35,2750,N
170,0,1,1,15,2750,W
171,1,0,0.4,0,875,W
172,1,0,1.2,0,625,W
173,0,1,6,5,2750,W
174,0,0,6.2,25,2250,N
175,0,0,3,15,1750,S
176,1,1,0.4,0,625,W
177,0,1,2,0,25,W
178,0,0,1.2,5,2250,E
179,0,1,0,45,1750,W
180,0,0,0.4,0,1250,W
181,1,1,0.2,0,875,W
182,0,0,10,15,2750,S
183,0,0,7.2,25,1250,W
184,0,1,6.2,25,1750,W
185,1,1,0.2,0,875,W
186,0,0,1.8,0,25,W
187,0,0,7.2,55,2750,S
188,0,0,4.8,15,2750,E
189,0,1,3.2,15,2750,N
190,1,0,3.4,5,1750,W
191,0,0,0.2,5,1750,E
192,0,1,4,0,875,W
193,0,0,4,0,150,W
194,0,0,6,15,2750,S
195,0,0,0.6,5,1250,W
196,0,0,1,0,1250,W
197,0,0,2,0,375,W
198,0,1,0.2,0,150,W
199,0,1,2.6,0,2750,W
200,1,1,2.8,25,2750,W
201,0,1,6.1,15,2250,E
202,0,1,3,15,875,W
203,0,0,6.2,15,1250,W
204,0,0,4,0,875,W
205,0,0,6,0,25,W
206,0,1,0.8,15,2750,N
207,0,1,0.2,5,875,W
208,0,0,1.8,35,1250,W
209,0,0,8,0,375,W
210,0,0,0.2,0,25,W
211,0,0,2.2,15,2750,E
212,1,0,6.6,5,2750,W
213,0,0,2.6,35,1750,S
214,1,0,6.6,25,875,E
215,1,0,0,15,875,W
216,0,0,1,0,625,W
217,0,0,0.4,0,375,W
218,0,0,9.2,5,2750,N
219,0,0,3.2,5,625,W
220,0,0,1.4,15,1250,W
221,0,0,6.2,0,375,W
222,0,0,6,15,2750,E
223,0,1,6.4,5,2750,W
224,0,0,1,5,1750,W
225,1,1,0.2,15,375,N
226,1,0,1,15,625,W
227,0,0,0,0,875,W
228,1,0,3.2,0,25,W
229,0,0,0.2,25,1750,E
230,0,0,2,5,1250,N
231,1,1,1.4,45,2250,E
232,0,0,0,35,1750,W
233,0,1,0,0,1750,W
234,0,1,0,0,1250,W
235,0,1,1.4,85,2250,S
236,1,1,0.2,35,1750,E
237,0,0,0,15,2250,W
238,0,0,0.6,15,1250,S
239,0,0,0,5,2750,S
240,0,0,2.4,5,1750,W
241,0,0,1.6,15,2750,E
242,0,0,2.2,15,2250,S
243,1,0,1.1,25,1750,W
244,0,0,3.2,5,1750,W
245,0,0,0,15,2750,W
246,0,1,1.8,5,2750,E
247,0,0,4.2,65,2750,E
248,0,0,0.8,5,2750,W
249,0,0,5.2,5,2750,E
250,0,0,0.2,15,2750,E
251,1,0,0,85,2750,W
252,0,1,6.4,5,2750,W
253,0,0,3.4,75,2750,W
254,0,0,1.8,5,2750,W
255,0,0,0.4,5,2750,W
256,0,0,0.4,75,2750,W
